date,indpro,payems,unrate,tcu,cpiaucsl,cpilfesl,ppiaco,pcepi
1980-01-01,0.539404,0.141069,0.3,0.2931,1.420295,1.312355,2.135312,1.04248
1980-02-01,0.027076,0.091368,0.0,-0.1347,1.273903,1.037623,1.97566,1.077037
1980-03-01,-0.407881,0.122061,0.0,-0.4957,1.3828,1.409376,0.688076,1.220997
1980-04-01,-2.006304,-0.159478,0.6,-1.8092,0.993797,1.138532,0.342271,0.519877
1980-05-01,-2.490851,-0.473331,0.6,-2.1578,0.984018,0.751883,0.567861,0.774783
1980-06-01,-1.300644,-0.353422,0.1,-1.1749,0.974429,1.11733,0.451978,0.629479
1980-07-01,-0.705882,-0.290095,0.2,-0.6989,0.121139,-0.247219,1.787757,0.77427
1980-08-01,0.313065,0.287876,-0.1,0.093,0.723767,0.616905,1.320151,0.82933
1980-09-01,1.636578,0.126448,-0.2,1.1263,0.837827,0.9792,0.218341,0.920756
1980-10-01,1.263154,0.306581,0.0,0.8371,0.948999,1.090259,1.192426,0.797516
1980-11-01,1.660351,0.283607,0.0,1.1596,1.056968,1.078501,0.430108,0.81103
1980-12-01,0.663467,0.215752,-0.3,0.3553,0.930239,1.184848,0.641713,0.647076
1981-01-01,-0.643089,0.098914,0.3,-0.7094,0.921666,0.587201,1.481509,0.955515
1981-02-01,-0.427034,0.079061,-0.1,-0.5375,0.913248,0.583773,0.940937,1.006838
1981-03-01,0.507525,0.115185,0.0,0.209,0.679504,0.580385,0.932166,0.695207
1981-04-01,-0.440649,0.080003,-0.2,-0.5526,0.562748,0.692044,1.02565,0.435345
1981-05-01,0.571528,0.01424,0.3,0.2547,0.671143,0.915338,0.305655,0.447716
1981-06-01,0.508193,0.21227,0.0,0.2027,0.887908,0.907036,0.203252,0.398397
1981-07-01,0.653374,0.121251,-0.3,0.3213,1.098912,1.345312,0.50633,0.601694
1981-08-01,-0.124722,-0.039309,0.2,-0.3014,0.762116,0.997238,0.0,0.623815
1981-09-01,-0.482757,-0.096153,0.2,-0.583,0.971405,1.205494,-0.202225,0.603682
1981-10-01,-0.791714,-0.106094,0.3,-0.8186,0.321716,0.326265,0.101163,0.452117
1981-11-01,-1.169108,-0.228977,0.4,-1.0988,0.427351,0.43337,-0.101163,0.535254
1981-12-01,-1.069043,-0.303187,0.2,-1.0,0.319319,0.539085,0.0,0.307855
1982-01-01,-2.086193,-0.363717,0.1,-1.7463,0.318303,0.322061,0.906807,0.592361
1982-02-01,2.015826,-0.002208,0.3,1.3689,0.317293,0.534475,0.100251,0.300554
1982-03-01,-0.66663,-0.142544,0.1,-0.656,0.0,0.106553,-0.200602,0.256576
1982-04-01,-0.927524,-0.314535,0.3,-0.8354,0.316289,0.848361,0.0,0.049876
1982-05-01,-0.667942,-0.04771,0.1,-0.6243,0.942909,0.736458,0.200602,0.592079
1982-06-01,-0.260656,-0.268931,0.2,-0.3091,1.1405,0.731074,0.2002,0.7229
1982-07-01,-0.329203,-0.383531,0.2,-0.3469,0.51414,0.622409,0.399202,0.591038
1982-08-01,-0.91708,-0.176651,0.0,-0.7629,0.204918,0.412797,-0.099651,0.308625
1982-09-01,-0.246873,-0.201629,0.3,-0.2589,0.0,0.102934,-0.299551,0.276729
1982-10-01,-0.972758,-0.309956,0.3,-0.7703,0.408581,0.308167,0.1998,0.559966
1982-11-01,-0.32538,-0.13619,0.4,-0.2898,-0.101989,-0.205339,0.099751,0.300732
1982-12-01,-0.709957,-0.016896,0.0,-0.5525,-0.306592,-0.102828,0.199203,0.151122
1983-01-01,1.84638,0.246398,-0.4,1.2843,0.204499,0.410678,-0.298954,0.465071
1983-02-01,-0.629494,-0.082065,0.0,-0.4851,0.102093,0.408999,0.298954,0.169768
1983-03-01,0.840465,0.194374,-0.1,0.5797,0.101989,0.203874,-0.099552,0.128223
1983-04-01,1.258006,0.307082,-0.1,0.8937,0.711024,0.406505,0.0,0.455058
1983-05-01,0.601512,0.312835,-0.1,0.4207,0.404041,0.303798,0.397615,0.282825
1983-06-01,0.610741,0.419671,0.0,0.4293,0.20141,0.302878,0.198216,0.37228
1983-07-01,1.478341,0.46105,-0.7,1.0783,0.401607,0.603017,0.296589,0.563309
1983-08-01,1.175899,-0.34115,0.1,0.8572,0.30015,0.30015,0.492369,0.426258
1983-09-01,1.443999,1.232814,-0.3,1.065,0.299252,0.398804,0.196271,0.3503
1983-10-01,0.761678,0.298741,-0.4,0.5383,0.397615,0.496279,0.195886,0.169402
1983-11-01,0.44501,0.387143,-0.3,0.2832,0.297177,0.493828,-0.097895,0.141654
1983-12-01,0.500874,0.38565,-0.2,0.3163,0.296297,0.295131,0.195695,0.054916
1984-01-01,1.97633,0.479171,-0.3,1.4727,0.687963,0.685269,0.584797,0.434041
1984-02-01,0.43841,0.520907,-0.2,0.2479,0.488521,0.292255,0.291121,0.670525
1984-03-01,0.488382,0.291555,0.0,0.2758,0.291971,0.38835,0.676005,0.327339
1984-04-01,0.589939,0.387777,-0.1,0.3458,0.387973,0.483326,0.0962,0.380201
1984-05-01,0.541289,0.325723,-0.3,0.2955,0.193424,0.384986,0.096108,0.126413
1984-06-01,0.366101,0.40408,-0.2,0.1419,0.19305,0.38351,-0.096108,0.177951
1984-07-01,0.276632,0.327578,0.3,0.0593,0.384986,0.477328,0.192123,0.357014
1984-08-01,0.102968,0.256031,0.0,-0.09,0.28777,0.380229,-0.384616,0.306468
1984-09-01,-0.296548,0.327773,-0.2,-0.4208,0.286944,0.378788,-0.386101,0.135451
1984-10-01,-0.011021,0.298472,0.1,-0.1968,0.381316,0.377359,0.0,0.235576
1984-11-01,0.336315,0.368455,-0.2,0.0758,0.190114,0.188147,0.289715,0.14108
1984-12-01,0.032215,0.130148,0.1,-0.1732,0.189753,0.375235,-0.19305,0.281564
1985-01-01,-0.017204,0.275355,0.0,-0.2165,0.189394,0.280505,-0.096665,0.497933
1985-02-01,0.274735,0.135839,-0.1,0.014,0.566039,0.558661,-0.096759,0.463184
1985-03-01,0.151029,0.350669,0.0,-0.0858,0.469264,0.370714,-0.193799,0.39072
1985-04-01,-0.217861,0.202187,0.1,-0.3782,0.187091,0.277136,0.193799,0.144622
1985-05-01,0.145293,0.281966,-0.1,-0.0854,0.186741,0.368325,0.193424,0.236568
1985-06-01,-0.048529,0.150947,0.2,-0.235,0.27946,0.275356,-0.193424,0.271962
1985-07-01,-0.474308,0.19374,0.0,-0.5625,0.185874,0.2746,-0.096852,0.24533
1985-08-01,0.303721,0.196432,-0.3,0.0607,0.185529,0.364964,-0.485674,0.330145
1985-09-01,0.337786,0.209307,0.0,0.0985,0.185185,0.181984,-0.585939,0.168629
1985-10-01,-0.311467,0.191565,0.0,-0.4008,0.369345,0.453516,0.780492,0.166366
1985-11-01,0.351174,0.213549,-0.1,0.1331,0.459771,0.541518,0.484732,0.290477
1985-12-01,0.958381,0.168483,0.0,0.6266,0.457667,0.269663,0.193237,0.334877
