date,fedfunds,tb3ms,gs1,gs5,gs10,aaa,baa,payems,manemp,usgood,srvprd,dmanemp,ndmanemp,uscons,ustrade,unrate,indpro,ipmansics,ipmat,ipfinal
1960-02-01,-0.041374,-0.945603,-0.908448,-0.725152,-0.837259,-0.229902,-0.002737,0.514432,0.884067,0.895417,0.310190,1.039336,0.396720,0.880374,0.446042,-0.921912,-1.124821,-0.880157,-1.352771,-0.496635
1960-03-01,-0.261994,-1.576172,-1.573215,-1.199852,-0.873729,-0.320490,-0.419897,-0.418604,-0.576887,-1.890534,0.540088,-0.805193,0.046626,-5.646288,-0.330958,1.391032,-1.133245,-1.298913,-1.668030,-0.277628
1960-04-01,0.159189,-0.193772,0.051770,-0.060571,0.110954,-0.184607,-0.234493,0.885338,-0.525210,0.570145,1.078380,-0.839862,0.291472,3.858770,2.417978,-0.459323,-1.022574,-0.894738,-2.305851,-0.058259
1960-05-01,-0.141656,0.145765,0.421085,0.635655,0.256833,0.041864,0.368072,-1.287892,-0.808995,-0.603303,-1.577441,-1.053728,-0.128242,0.414273,-2.173503,-0.228028,-0.309990,-0.690231,-1.002885,0.487920
1960-06-01,-1.064247,-2.012719,-2.090255,-1.168205,-0.727850,-0.048725,-0.095439,-0.631755,-1.140800,-1.110835,-0.264034,-1.332823,-0.549137,-0.819373,-0.250219,0.697149,-1.512886,-1.222630,-1.638960,-1.263303
1960-07-01,-0.181768,-0.387793,-0.391407,-1.041619,-0.910199,-0.184607,-0.188142,-0.365826,-0.534125,-0.593164,-0.162708,-0.619285,-0.269571,-0.027987,-0.129844,0.234560,-0.554330,-0.379676,-0.074266,-0.720569
1960-08-01,-0.502670,0.000249,-0.612996,-0.535272,-0.363153,-0.592255,-0.651653,-0.340814,-0.536123,-0.554144,-0.148356,-0.394820,-0.798765,-1.047791,-0.330495,0.234560,-0.312069,-0.593530,-0.599961,-0.167944
1960-09-01,-0.763402,0.436796,0.297980,-0.028925,0.001545,-0.139313,-0.327195,-0.375435,-0.284421,-0.415777,-0.283374,-0.304939,-0.200838,-0.572796,-0.228842,-0.228028,-1.290442,-1.134686,-1.668296,-0.723386
1960-10-01,-0.261994,-0.436298,-0.071334,0.477422,0.329773,0.223041,0.460774,-0.501369,-1.048854,-0.888492,-0.201474,-1.238104,-0.484361,-0.219833,-0.044188,1.391032,-0.313495,-0.275107,-0.501469,0.276668
1960-11-01,-0.061431,0.170017,0.101012,0.160955,0.147424,0.041864,-0.141790,-0.804603,-1.279481,-1.293873,-0.432749,-1.513404,-0.592343,-0.769834,-0.780917,0.003266,-1.676538,-1.914647,-2.578488,-1.283780
1960-12-01,-0.923852,-0.290782,-0.539133,-0.440332,-0.326683,0.177746,0.089965,-0.926936,-1.809201,-2.132029,-0.143650,-1.860897,-1.486955,-2.554610,-0.489675,1.159738,-2.205717,-1.724312,-2.644694,-1.410569
1961-01-01,-1.064247,-0.024004,-0.120576,0.002722,0.001545,-0.139313,-0.002737,-0.421252,-0.906377,-0.359747,-0.389361,-1.377995,0.260416,1.428220,-0.159058,0.003266,-0.063808,-0.054704,0.612412,-0.395549
1961-02-01,2.184877,0.436796,0.297980,-0.028925,-0.217274,-0.229902,-0.141790,-0.634448,-0.660420,-0.786329,-0.471391,-0.927803,0.010112,-0.813292,-1.008494,0.697149,-0.317674,-0.616479,-0.857377,-0.167944
1961-03-01,-1.044190,-0.072509,-0.120576,-0.187158,-0.144334,-0.229902,-0.234493,0.090026,0.057356,0.149845,0.097238,-0.051090,0.296056,0.599593,0.940151,0.003266,0.443327,0.506223,0.611886,-0.054073
1961-04-01,-1.064247,-0.242277,0.002528,-0.092218,0.147424,0.132452,-0.049088,-0.335747,0.308303,-0.071756,-0.422999,0.428635,0.010158,-1.011071,-1.886274,0.234560,1.935475,1.932639,2.480374,1.412549
1961-05-01,0.981498,0.000249,-0.022093,-0.313745,-0.253743,0.087158,-0.002737,0.270240,1.261172,0.752963,0.029331,1.694990,0.153073,-0.686513,0.350561,0.234560,1.406919,1.242400,2.510349,0.612801
1961-06-01,-0.502670,0.097260,0.470327,1.078709,0.621531,0.268335,0.089965,0.369780,0.599543,0.782923,0.162973,0.516961,0.723709,1.229688,0.240748,-0.459323,1.262345,1.221034,1.187947,0.716534
1961-07-01,-1.124415,-0.218025,-0.342165,0.097662,0.147424,0.358923,0.275370,0.226060,0.586492,0.164869,0.295526,0.765530,0.117233,-0.912829,0.145342,0.234560,1.005140,0.991575,1.064741,0.489787
