month,dgs3mo,dgs1,dgs2,dgs5,dgs10,dgs30
2000-01,5.499,6.1215,6.44,6.5795,6.661,6.6255
2000-02,5.727,6.218,6.6105,6.678,6.5195,6.232
2000-03,5.8639,6.2222,6.5283,6.5039,6.2565,6.0535
2000-04,5.8216,6.1505,6.4037,6.2626,5.9905,5.8463
2000-05,5.9945,6.3264,6.8095,6.6877,6.4405,6.1486
2000-06,5.8618,6.1727,6.4818,6.3009,6.0973,5.9264
2000-07,6.1425,6.0825,6.339,6.179,6.054,5.851
2000-08,6.2774,6.183,6.2287,6.0609,5.8261,5.7161
2000-09,6.175,6.1255,6.0815,5.9345,5.799,5.8265
2000-10,6.2948,6.0124,5.9124,5.7829,5.7386,5.8033
2000-11,6.3562,6.0919,5.8752,5.6976,5.7171,5.7757
2000-12,5.937,5.6025,5.352,5.168,5.2405,5.4905
2001-01,5.2852,4.8148,4.76,4.8586,5.161,5.541
2001-02,5.0053,4.6842,4.6568,4.8863,5.0989,5.4547
2001-03,4.5355,4.2986,4.3423,4.6427,4.8855,5.3395
2001-04,3.966,3.9765,4.234,4.7635,5.141,5.646
2001-05,3.7032,3.7814,4.26,4.9277,5.3914,5.78
2001-06,3.5652,3.5762,4.08,4.8071,5.2843,5.6695
2001-07,3.5933,3.6171,4.0386,4.7619,5.2362,5.6133
2001-08,3.4378,3.4704,3.7574,4.5739,4.9713,5.4835
2001-09,2.6924,2.8247,3.1188,4.1153,4.7318,5.4829
2001-10,2.1977,2.3305,2.7259,3.91,4.5668,5.3155
2001-11,1.9065,2.182,2.7825,3.9725,4.6515,5.118
2001-12,1.72,2.2155,3.107,4.3895,5.0875,5.48
2002-01,1.6848,2.1586,3.0281,4.34,5.0357,5.4452
2002-02,1.7568,2.2326,3.0153,4.2984,4.9116,5.4516
2002-03,1.825,2.567,3.5575,4.738,5.284,5.8085
2002-04,1.745,2.4759,3.4227,4.6468,5.2109,5.7918
2002-05,1.7605,2.3541,3.2641,4.4945,5.1645,5.7573
2002-06,1.732,2.1965,2.993,4.186,4.9265,5.677
2002-07,1.7136,1.9609,2.5568,3.8073,4.6532,5.585
2002-08,1.6473,1.7573,2.1336,3.2945,4.2573,5.2759
2002-09,1.659,1.715,2.0045,2.938,3.87,4.963
2002-10,1.61,1.65,1.9118,2.945,3.9409,5.1818
2002-11,1.2547,1.4916,1.9232,3.0547,4.0484,5.1821
2002-12,1.211,1.45,1.8362,3.0333,4.0324,5.1333
2003-01,1.189,1.3643,1.7433,3.0524,4.0486,5.1376
2003-02,1.1853,1.2963,1.6279,2.8979,3.9026,5.0247
