date,dlindpro,dunrate
1960-01-01,2.591559,-0.1
1960-02-01,-0.893778,-0.4
1960-03-01,-0.901839,0.6
1960-04-01,-0.795942,-0.2
1960-05-01,-0.114104,-0.1
1960-06-01,-1.265099,0.3
1960-07-01,-0.347901,0.1
1960-08-01,-0.116093,0.1
1960-09-01,-1.052253,-0.1
1960-10-01,-0.117458,0.6
1960-11-01,-1.42169,0.0
1960-12-01,-1.928037,0.5
1961-01-01,0.121456,0.0
1961-02-01,-0.121456,0.3
1961-03-01,0.606711,0.0
1961-04-01,2.034478,0.1
1961-05-01,1.528727,0.1
1961-06-01,1.390391,-0.2
1961-07-01,1.144283,0.1
1961-08-01,0.905924,-0.4
1961-09-01,-0.112688,0.1
1961-10-01,1.900691,-0.2
1961-11-01,1.538548,-0.4
1961-12-01,0.868543,-0.1
1962-01-01,-0.868948,-0.2
1962-02-01,1.622486,-0.3
1962-03-01,0.535295,0.1
1962-04-01,0.213397,0.0
1962-05-01,-0.10684,-0.1
1962-06-01,-0.213229,0.0
1962-07-01,0.956756,-0.1
1962-08-01,0.105656,0.3
1962-09-01,0.632383,-0.1
1962-10-01,0.10488,-0.2
1962-11-01,0.41881,0.3
1962-12-01,0.0,-0.2
1963-01-01,0.72882,0.2
1963-02-01,1.134989,0.2
1963-03-01,0.613251,-0.2
1963-04-01,0.913069,0.0
1963-05-01,1.205094,0.2
1963-06-01,0.299018,-0.3
1963-07-01,-0.398766,0.0
1963-08-01,0.199397,-0.2
1963-09-01,0.992163,0.1
1963-10-01,0.688666,0.0
1963-11-01,0.488862,0.2
1963-12-01,-0.195113,-0.2
1964-01-01,0.875745,0.1
1964-02-01,0.676031,-0.2
1964-03-01,0.0,0.0
1964-04-01,1.62306,-0.1
1964-05-01,0.566345,-0.2
1964-06-01,0.282149,0.1
1964-07-01,0.655152,-0.3
1964-08-01,0.650888,0.1
1964-09-01,0.369994,0.1
1964-10-01,-1.394678,0.0
1964-11-01,3.043083,-0.3
1964-12-01,1.173969,0.2
1965-01-01,1.071338,-0.1
1965-02-01,0.619769,0.2
1965-03-01,1.315189,-0.4
1965-04-01,0.434473,0.1
1965-05-01,0.77771,-0.2
1965-06-01,0.771391,0.0
1965-07-01,0.934976,-0.2
1965-08-01,0.422315,0.0
1965-09-01,0.252473,-0.1
1965-10-01,1.003258,-0.1
1965-11-01,0.414995,-0.1
1965-12-01,1.235054,-0.1
1966-01-01,0.977417,0.0
1966-02-01,0.646145,-0.2
1966-03-01,1.359571,0.0
1966-04-01,0.158568,0.0
1966-05-01,0.947038,0.1
1966-06-01,0.470322,-0.1
1966-07-01,0.545832,0.0
1966-08-01,0.077651,0.0
1966-09-01,0.928281,-0.1
1966-10-01,0.690315,0.0
1966-11-01,-0.690601,-0.1
1966-12-01,0.230731,0.2
1967-01-01,0.470659,0.1
1967-02-01,-1.140618,-0.1
1967-03-01,-0.565262,0.0
1967-04-01,0.938715,0.0
1967-05-01,-0.876359,0.0
1967-06-01,-0.01241,0.1
1967-07-01,-0.227988,-0.1
1967-08-01,1.897833,0.0
1967-09-01,-0.162494,0.0
1967-10-01,0.810971,0.2
1967-11-01,1.420247,-0.1
1967-12-01,1.071085,-0.1
1968-01-01,-0.107613,-0.1
1968-02-01,0.357619,0.1
1968-03-01,0.311768,-0.1
1968-04-01,0.144595,-0.2
1968-05-01,1.115539,0.0
1968-06-01,0.366676,0.2
1968-07-01,-0.153517,0.0
1968-08-01,0.27858,-0.2
1968-09-01,0.378002,-0.1
1968-10-01,0.198489,0.0
1968-11-01,1.285146,0.0
1968-12-01,0.315304,0.0
1969-01-01,0.60307,0.0
1969-02-01,0.637906,0.0
1969-03-01,0.781136,0.0
1969-04-01,-0.368461,0.0
1969-05-01,-0.378912,0.0
1969-06-01,0.972378,0.1
1969-07-01,0.526546,0.0
1969-08-01,0.229447,0.0
1969-09-01,-0.022462,0.2
1969-10-01,0.029352,0.0
1969-11-01,-0.947174,-0.2
1969-12-01,-0.268808,0.0
1970-01-01,-1.868999,0.4
1970-02-01,-0.06582,0.3
1970-03-01,-0.129924,0.2
1970-04-01,-0.257448,0.2
1970-05-01,-0.116664,0.2
1970-06-01,-0.323985,0.1
1970-07-01,0.245074,0.1
1970-08-01,-0.178442,0.1
1970-09-01,-0.691578,0.3
1970-10-01,-2.020702,0.1
1970-11-01,-0.607456,0.4
1970-12-01,2.27051,0.2
1971-01-01,0.766195,-0.2
1971-02-01,-0.190732,0.0
1971-03-01,-0.108315,0.1
1971-04-01,0.560048,-0.1
1971-05-01,0.505971,0.0
1971-06-01,0.418512,0.0
1971-07-01,-0.290506,0.1
1971-08-01,-0.58223,0.1
1971-09-01,1.61217,-0.1
1971-10-01,0.745927,-0.2
1971-11-01,0.42328,0.2
1971-12-01,1.147787,0.0
1972-01-01,2.362724,-0.2
1972-02-01,1.004139,-0.1
1972-03-01,0.689182,0.1
1972-04-01,0.995608,-0.1
1972-05-01,0.013822,0.0
1972-06-01,0.264438,0.0
1972-07-01,-0.111792,-0.1
1972-08-01,1.383727,0.0
1972-09-01,0.794846,-0.1
1972-10-01,1.262219,0.1
1972-11-01,1.175305,-0.3
1972-12-01,1.107936,-0.1
1973-01-01,0.720362,-0.3
1973-02-01,1.419522,0.1
1973-03-01,0.048777,-0.1
1973-04-01,-0.147297,0.1
1973-05-01,0.67916,-0.1
1973-06-01,0.134747,0.0
1973-07-01,0.355119,-0.1
1973-08-01,-0.136708,0.0
1973-09-01,0.796124,0.0
1973-10-01,0.842416,-0.2
1973-11-01,0.453308,0.2
1973-12-01,-0.287677,0.1
1974-01-01,-0.66111,0.2
1974-02-01,-0.317247,0.1
1974-03-01,0.003958,-0.1
1974-04-01,-0.291997,0.0
1974-05-01,0.789245,0.0
1974-06-01,-0.176506,0.3
1974-07-01,0.215226,0.1
1974-08-01,-1.067528,0.0
1974-09-01,-0.000221,0.4
1974-10-01,-0.272718,0.1
1974-11-01,-3.348254,0.6
1974-12-01,-3.67567,0.6
1975-01-01,-1.402546,0.9
1975-02-01,-2.32031,0.0
1975-03-01,-1.123612,0.5
1975-04-01,0.233106,0.2
1975-05-01,-0.329249,0.2
1975-06-01,0.62738,-0.2
1975-07-01,1.04278,-0.2
1975-08-01,0.97899,-0.2
1975-09-01,1.282741,0.0
1975-10-01,0.438858,0.0
1975-11-01,0.134316,-0.1
1975-12-01,1.356189,-0.1
1976-01-01,1.310372,-0.3
1976-02-01,0.975893,-0.2
1976-03-01,0.216012,-0.1
1976-04-01,0.494904,0.1
1976-05-01,0.424181,-0.3
1976-06-01,0.102637,0.2
1976-07-01,0.567945,0.2
1976-08-01,0.685435,0.0
1976-09-01,0.345105,-0.2
1976-10-01,-0.030449,0.1
1976-11-01,1.512734,0.1
1976-12-01,1.075381,0.0
1977-01-01,-0.702229,-0.3
1977-02-01,1.567567,0.1
1977-03-01,1.269924,-0.2
1977-04-01,0.956357,-0.2
1977-05-01,0.785384,-0.2
1977-06-01,0.774681,0.2
1977-07-01,0.127804,-0.3
1977-08-01,0.098759,0.1
1977-09-01,0.411451,-0.2
1977-10-01,0.141046,0.0
1977-11-01,0.183764,0.0
1977-12-01,0.178897,-0.4
1978-01-01,-1.482846,0.0
1978-02-01,0.534224,-0.1
1978-03-01,1.898732,0.0
1978-04-01,2.007395,-0.2
1978-05-01,0.465523,-0.1
1978-06-01,0.646807,-0.1
1978-07-01,-0.082477,0.3
1978-08-01,0.409541,-0.3
1978-09-01,0.253099,0.1
1978-10-01,0.747088,-0.2
1978-11-01,0.768657,0.1
1978-12-01,0.497488,0.1
1979-01-01,-0.54319,-0.1
1979-02-01,0.478055,0.0
1979-03-01,0.326021,-0.1
1979-04-01,-1.208745,0.0
1979-05-01,0.902771,-0.2
1979-06-01,0.021006,0.1
1979-07-01,-0.167396,0.0
1979-08-01,-0.660936,0.3
1979-09-01,-0.016905,-0.1
1979-10-01,0.723575,0.1
1979-11-01,-0.15504,-0.1
1979-12-01,0.067027,0.1
1980-01-01,0.539404,0.3
1980-02-01,0.027076,0.0
1980-03-01,-0.407881,0.0
1980-04-01,-2.006304,0.6
1980-05-01,-2.490851,0.6
1980-06-01,-1.300644,0.1
1980-07-01,-0.705882,0.2
1980-08-01,0.313065,-0.1
1980-09-01,1.636578,-0.2
1980-10-01,1.263154,0.0
1980-11-01,1.660351,0.0
1980-12-01,0.663467,-0.3
1981-01-01,-0.643089,0.3
1981-02-01,-0.427034,-0.1
1981-03-01,0.507525,0.0
1981-04-01,-0.440649,-0.2
1981-05-01,0.571528,0.3
1981-06-01,0.508193,0.0
1981-07-01,0.653374,-0.3
1981-08-01,-0.124722,0.2
1981-09-01,-0.482757,0.2
1981-10-01,-0.791714,0.3
1981-11-01,-1.169108,0.4
1981-12-01,-1.069043,0.2
1982-01-01,-2.086193,0.1
1982-02-01,2.015826,0.3
1982-03-01,-0.66663,0.1
1982-04-01,-0.927524,0.3
