date,sp500,wti,eurusd
2016-07-12,0.698485,4.566604,0.262218
2016-07-13,0.013474,-4.254104,0.342559
2016-07-14,0.524539,1.701511,-0.027001
2016-07-15,-0.092937,0.633397,-0.451101
2016-07-18,0.237951,-1.535791,0.153603
2016-07-19,-0.143627,-1.313027,-0.561341
2016-07-20,0.426121,0.714289,-0.063576
2016-07-21,-0.361902,-2.249308,0.081733
2016-07-22,0.454358,-1.25903,-0.436682
2016-07-25,-0.3016,-2.354147,0.109349
2016-07-26,0.032275,-0.567646,0.036423
2016-07-27,-0.119933,-0.618608,0.03641
2016-07-28,0.160493,-1.854804,0.960065
2016-07-29,0.162996,0.991904,0.664812
2016-08-01,-0.127059,-3.652814,0.071608
2016-08-02,-0.638191,-1.3828,0.437481
2016-08-03,0.312904,3.238141,-0.491182
2016-08-04,0.021257,2.708096,-0.322812
2016-08-05,0.856664,-0.214925,-0.486181
2016-08-08,-0.090747,2.898071,-0.018052
2016-08-09,0.038967,-0.652379,0.288444
2016-08-10,-0.28688,-2.437125,0.547553
2016-08-11,0.472339,4.129135,-0.026859
2016-08-12,-0.079637,2.182401,0.03581
2016-08-15,0.278908,2.772103,0.241384
2016-08-16,-0.549414,1.842072,0.694076
2016-08-17,0.186681,0.51403,-0.124224
2016-08-18,0.219718,2.926217,0.628404
2016-08-19,-0.144135,0.579232,-0.070609
2016-08-22,-0.056338,-3.526814,-0.106007
2016-08-23,0.194986,1.568826,-0.053046
2016-08-24,-0.525407,-2.664551,-0.460912
2016-08-25,-0.136617,1.458314,0.159787
2016-08-26,-0.15801,1.416364,-0.328728
2016-08-29,0.52145,-1.416364,-0.490656
2016-08-30,-0.19557,-1.393527,-0.286584
2016-08-31,-0.237861,-3.604786,-0.035881
2016-09-01,-0.004146,-3.438016,0.429723
2016-09-02,0.41923,2.786841,-0.322119
2016-09-06,0.297724,1.030937,0.705518
2016-09-07,-0.014636,1.372918,0.008899
2016-09-08,-0.222555,4.641005,0.160043
2016-09-09,-2.482775,-3.743352,-0.373832
2016-09-12,1.45704,0.868061,0.142577
2016-09-13,-1.494174,-3.004942,0.1068
2016-09-14,-0.058785,-2.914473,0.257629
2016-09-15,1.005852,0.525896,-0.222055
2016-09-16,-0.377938,-1.86448,-0.767655
