date,gdp,cpi,ffr
1959-10-01,3439.832,29.350,3.98
1960-01-01,3517.181,29.370,3.99
1960-04-01,3498.246,29.540,3.92
1960-07-01,3515.385,29.550,3.23
1960-10-01,3470.278,29.750,2.47
1961-01-01,3493.703,29.840,1.45
1961-04-01,3553.021,29.810,1.49
1961-07-01,3621.252,29.920,1.17
1961-10-01,3692.289,29.980,2.26
1962-01-01,3758.147,30.040,2.15
1962-04-01,3792.149,30.210,2.78
1962-07-01,3838.776,30.220,2.71
1962-10-01,3851.421,30.380,2.90
1963-01-01,3893.482,30.440,2.92
1963-04-01,3937.183,30.480,2.90
1963-07-01,4023.755,30.690,3.02
1963-10-01,4050.147,30.750,3.50
1964-01-01,4135.553,30.940,3.48
1964-04-01,4180.592,30.950,3.47
1964-07-01,4245.918,31.020,3.42
1964-10-01,4259.046,31.120,3.36
1965-01-01,4362.111,31.280,3.90
1965-04-01,4417.225,31.380,4.09
1965-07-01,4515.427,31.580,4.09
1965-10-01,4619.458,31.650,4.08
1966-01-01,4731.888,31.880,4.42
1966-04-01,4748.046,32.280,4.67
1966-07-01,4788.254,32.450,5.30
1966-10-01,4827.537,32.850,5.53
1967-01-01,4870.299,32.900,4.94
1967-04-01,4873.287,33.100,4.05
1967-07-01,4919.392,33.400,3.79
1967-10-01,4956.477,33.700,3.88
1968-01-01,5057.553,34.100,4.61
1968-04-01,5142.033,34.400,5.76
1968-07-01,5181.859,34.900,6.03
1968-10-01,5202.212,35.300,5.91
1969-01-01,5283.597,35.700,6.30
1969-04-01,5299.625,36.300,7.41
1969-07-01,5334.600,36.800,8.61
1969-10-01,5308.556,37.300,9.00
1970-01-01,5300.652,37.900,8.98
1970-04-01,5308.164,38.500,8.10
1970-07-01,5357.077,38.900,7.21
1970-10-01,5299.672,39.400,6.20
1971-01-01,5443.619,39.900,4.14
1971-04-01,5473.059,40.100,4.16
1971-07-01,5518.072,40.600,5.31
1971-10-01,5531.032,40.900,5.20
1972-01-01,5632.649,41.200,3.51
1972-04-01,5760.470,41.500,4.17
1972-07-01,5814.854,41.800,4.55
1972-10-01,5912.220,42.200,5.05
1973-01-01,6058.544,42.700,5.94
1973-04-01,6124.506,43.700,7.12
1973-07-01,6092.301,44.200,10.40
1973-10-01,6150.131,45.600,10.01
1974-01-01,6097.258,46.800,9.65
