date,dlsales,dlincome,dunrate
1992-02-01,0.007538,0.43252,0.1
1992-03-01,-0.341057,0.087877,0.0
1992-04-01,0.799833,0.28175,0.0
1992-05-01,0.34333,0.466066,0.2
1992-06-01,0.456361,0.413926,0.2
1992-07-01,1.018339,-0.075012,-0.1
1992-08-01,-0.272392,0.350889,-0.1
1992-09-01,1.192891,-0.469444,0.0
1992-10-01,1.030201,-0.647945,-0.3
1992-11-01,0.036726,0.151122,0.1
1992-12-01,0.93885,3.505067,0.0
1993-01-01,1.072993,-2.204826,-0.1
1993-02-01,-0.390141,0.474806,-0.2
1993-03-01,-0.688219,-0.30889,-0.1
1993-04-01,2.6018,0.518183,0.1
1993-05-01,0.497303,-0.145549,0.0
1993-06-01,0.033528,-0.186143,-0.1
1993-07-01,1.607648,0.249847,-0.1
1993-08-01,-0.33556,0.144159,-0.1
1993-09-01,0.781607,-0.272908,-0.1
1993-10-01,0.553367,-0.489196,0.1
1993-11-01,1.214524,0.276853,-0.2
1993-12-01,0.731085,3.35085,-0.1
1994-01-01,-0.810668,-1.896962,0.1
1994-02-01,1.922224,0.187475,0.0
1994-03-01,1.957761,0.326599,-0.1
1994-04-01,-0.159724,-0.001279,-0.1
1994-05-01,-0.433826,1.146793,-0.3
1994-06-01,1.169754,-0.158141,0.0
1994-07-01,0.139413,0.087325,0.0
1994-08-01,1.430206,0.118841,-0.1
1994-09-01,0.946386,0.436225,-0.1
1994-10-01,0.687715,0.944077,-0.1
1994-11-01,0.263172,-0.006231,-0.2
1994-12-01,0.26402,0.451378,-0.1
1995-01-01,0.495847,0.31958,0.1
1995-02-01,-1.46027,0.197677,-0.2
1995-03-01,1.087463,0.273632,0.0
1995-04-01,0.067095,-0.743755,0.4
1995-05-01,1.398198,1.006819,-0.2
1995-06-01,1.166052,0.296652,0.0
1995-07-01,-0.63731,0.220081,0.1
1995-08-01,0.983546,0.063489,0.0
1995-09-01,0.128723,0.321708,-0.1
1995-10-01,-0.36822,0.109437,-0.1
1995-11-01,1.458919,0.268222,0.1
1995-12-01,0.238973,0.130816,0.0
1996-01-01,-0.117207,0.130645,0.0
1996-02-01,1.500997,0.767109,-0.1
1996-03-01,0.373922,0.318597,0.0
1996-04-01,0.788599,-0.606928,0.1
1996-05-01,0.886197,1.255352,0.0
1996-06-01,-0.800231,0.595836,-0.3
1996-07-01,0.643827,-0.273194,0.2
1996-08-01,0.009012,0.244844,-0.4
1996-09-01,1.125746,0.226567,0.1
1996-10-01,1.069609,-0.014145,0.0
1996-11-01,-0.166708,0.263719,0.2
1996-12-01,0.242772,0.328674,0.0
1997-01-01,1.122152,0.272682,-0.1
1997-02-01,0.66848,0.266113,-0.1
1997-03-01,0.726903,0.46284,0.0
1997-04-01,-1.486657,0.063792,-0.1
1997-05-01,-0.070691,0.432711,-0.2
1997-06-01,1.124202,0.320432,0.1
1997-07-01,1.241843,0.383626,-0.1
1997-08-01,0.060524,0.520248,-0.1
1997-09-01,0.620605,0.260819,0.1
1997-10-01,-0.093135,0.491312,-0.2
1997-11-01,-0.259811,0.647602,-0.1
1997-12-01,0.676241,0.584197,0.1
1998-01-01,0.31827,0.874933,-0.1
1998-02-01,-0.092097,0.644055,0.0
1998-03-01,0.505044,0.584116,0.1
1998-04-01,1.539508,0.324617,-0.4
1998-05-01,0.254007,0.412717,0.1
1998-06-01,0.953041,0.565665,0.1
1998-07-01,-0.712632,0.170588,0.0
1998-08-01,-0.76256,0.315575,0.0
1998-09-01,1.088953,0.281345,0.1
1998-10-01,1.650474,0.128597,-0.1
1998-11-01,0.59861,0.396535,-0.1
1998-12-01,1.066717,0.182242,0.0
1999-01-01,0.053704,0.556389,-0.1
1999-02-01,1.272517,0.339318,0.1
1999-03-01,0.549554,0.083332,-0.2
1999-04-01,0.790129,-0.328456,0.1
